run_name,species_code,common_name,season,region,start_year,end_year,start_date,end_date,rsquared,beta0
abetow_resident,abetow,Abert's Towhee,resident,north_america,2007,2021,01-04,12-28,0.9021888732687658,-0.26661345351715776
acafly_breeding,acafly,Acadian Flycatcher,breeding,north_america,2007,2021,05-24,07-20,0.8835865402915302,0.6140841646772208
acowoo_resident,acowoo,Acorn Woodpecker,resident,north_america,2007,2021,01-04,12-28,0.898928155018841,0.09166516481272256
affeag1_resident,affeag1,African Fish-Eagle,resident,south_africa,2007,2021,01-04,12-28,0.7669863634214646,0.5289987343919489
aldfly_breeding,aldfly,Alder Flycatcher,breeding,north_america,2007,2021,06-28,07-13,0.7061864187612483,-0.20787861972853217
allhum_breeding,allhum,Allen's Hummingbird,breeding,north_america,2007,2021,03-29,06-07,0.9438177074344366,-0.327090057456256
altori_resident,altori,Altamira Oriole,resident,north_america,2007,2021,01-25,03-08,0.8735661688664749,-0.2778509127531498
ambduc_nonbreeding,ambduc,American Black Duck,nonbreeding,north_america,2007,2020,12-28,02-15,0.8633740888779485,-0.31501803128791384
ameavo_breeding,ameavo,American Avocet,breeding,north_america,2007,2021,05-10,06-21,0.7770016513584707,-0.2443344134387196
amebit_breeding,amebit,American Bittern,breeding,north_america,2007,2021,06-14,07-20,0.779083284117808,-0.25768997465045373
amecro_breeding,amecro,American Crow,breeding,north_america,2007,2021,05-17,06-21,0.9272068333667864,-0.3145755463133262
amedip_resident,amedip,American Dipper,resident,north_america,2007,2021,05-17,06-21,0.8515529447690134,-0.2289395121712684
amegfi_breeding,amegfi,American Goldfinch,breeding,north_america,2007,2021,06-14,08-03,0.9417643612976868,-0.20982915255412343
amekes_breeding,amekes,American Kestrel,breeding,north_america,2007,2021,05-31,07-06,0.9086981842990812,-0.08895285643098251
ameoys_breeding,ameoys,American Oystercatcher,breeding,north_america,2007,2021,05-17,06-28,0.8118478696969235,-0.00475650656373042
amepip_nonbreeding,amepip,American Pipit,nonbreeding,north_america,2007,2020,12-28,02-01,0.812816462058319,-0.11768371558282673
amered_breeding,amered,American Redstart,breeding,north_america,2007,2021,06-21,07-13,0.7958482680616467,-0.7176834639998251
amerob_nonbreeding,amerob,American Robin,nonbreeding,north_america,2007,2021,01-04,02-01,0.9022806563030148,0.03808998246700573
amewig_nonbreeding,amewig,American Wigeon,nonbreeding,north_america,2007,2020,12-14,01-18,0.8504352528821418,-0.08532968725181878
amewoo_breeding,amewoo,American Woodcock,breeding,north_america,2007,2021,05-17,07-13,0.8028835254863655,-0.8988893224654587
amtspa_nonbreeding,amtspa,American Tree Sparrow,nonbreeding,north_america,2007,2020,12-28,02-08,0.8852924661158569,-0.0111540014219555
amwpel_breeding,amwpel,American White Pelican,breeding,north_america,2007,2021,06-07,07-06,0.8057850738022571,0.07087376581813312
andgoo1_nonbreeding,andgoo1,Andean Goose,nonbreeding,south_america,2007,2021,05-24,08-24,0.5248275257776376,0.571681488659187
anhing_breeding,anhing,Anhinga,breeding,north_america,2007,2021,05-03,07-13,0.8001489648561203,0.22824349426923043
annhum_breeding,annhum,Anna's Hummingbird,breeding,north_america,2007,2021,02-01,04-26,0.902603987764294,1.0308596790444604
antnig_breeding,antnig,Antillean Nighthawk,breeding,north_america,2007,2021,05-10,07-13,0.6636975685055614,0.7262596332620797
aplfal_resident,aplfal,Aplomado Falcon,resident,latin_america,2007,2021,01-04,12-28,0.8385977714274405,0.29626436212748425
ariwoo_resident,ariwoo,Arizona Woodpecker,resident,north_america,2007,2021,03-15,05-10,0.6640655756839862,-1.4776971675555703
asikoe2_breeding,asikoe2,Asian Koel,breeding,india,2007,2021,05-24,06-28,0.9012288396052792,0.2805593763377354
aspfly1_nonbreeding,aspfly1,Indian Paradise-Flycatcher,nonbreeding,india,2007,2020,12-14,02-01,0.8511227749526061,0.09608818332631013
astfly_breeding,astfly,Ash-throated Flycatcher,breeding,north_america,2007,2021,05-31,07-20,0.8528666765896238,-0.02966897254040324
audori_resident,audori,Audubon's Oriole,resident,north_america,2007,2020,12-14,03-22,0.8453876808826971,-0.1582162936909295
ausneg1_breeding,ausneg1,Austral Negrito,breeding,south_america,2007,2021,11-16,12-28,0.8491385202335154,-0.12155657663076072
azwmag3_resident,azwmag3,Iberian Magpie,resident,iberia,2007,2021,01-04,12-28,0.8342050290519112,0.402503002279869
bacspa_resident,bacspa,Bachman's Sparrow,resident,north_america,2007,2021,02-22,04-26,0.5321172913696828,0.4270888252465713
baleag_breeding,baleag,Bald Eagle,breeding,north_america,2007,2021,05-24,06-28,0.858442612938462,-0.2372872303606789
balori_breeding,balori,Baltimore Oriole,breeding,north_america,2007,2021,06-14,07-20,0.946139198919596,-0.08205888072982052
banswa_breeding,banswa,Bank Swallow,breeding,north_america,2007,2021,06-07,06-21,0.8618580288166245,-0.05183627213126313
banwre1_resident,banwre1,Banded Wren,resident,central_america,2007,2021,01-04,12-28,0.6999850956937674,0.1464643827413786
bargol_nonbreeding,bargol,Barrow's Goldeneye,nonbreeding,north_america,2007,2020,11-23,02-22,0.7557492620119197,0.550439760962038
barswa_breeding,barswa,Barn Swallow,breeding,north_america,2007,2021,06-14,07-06,0.9363100877539936,-0.16094593030374651
batpig1_breeding,batpig1,Band-tailed Pigeon,breeding,north_america,2007,2021,05-24,08-03,0.912728427929814,-0.14290307199290114
bawwar_breeding,bawwar,Black-and-white Warbler,breeding,north_america,2007,2021,06-14,07-06,0.8499214380722288,0.13894620272159405
baymac_resident,baymac,Blue-and-yellow Macaw,resident,south_america,2007,2021,01-04,12-28,0.8490936340141562,0.12110940505388446
bbwduc_breeding,bbwduc,Black-bellied Whistling-Duck,breeding,north_america,2007,2021,05-24,06-21,0.8318763200582842,0.177382786795609
bcnher_breeding,bcnher,Black-crowned Night-Heron,breeding,north_america,2007,2021,06-07,07-06,0.8343023422455579,-0.2011475111205318
belkin1_breeding,belkin1,Belted Kingfisher,breeding,north_america,2007,2021,05-24,06-28,0.8572440313913493,-0.938308746728333
