species_code,common_name,season,modeled_region,start_year,end_year,start_date,end_date,rsquared,beta0
abetow,Abert's Towhee,resident,north_america,2012,2022,01-25,05-10,0.923182050289446,-0.01392301179359274
acafly,Acadian Flycatcher,breeding,north_america,2012,2022,05-24,08-02,0.8570362779092368,0.6894247918028311
acowoo,Acorn Woodpecker,resident,north_america,2011,2021,11-01,05-03,0.8805367018685081,-0.0926707136000912
aldfly,Alder Flycatcher,breeding,north_america,2012,2022,06-21,07-12,0.7868722876265637,-0.16241275717672704
alepar2,Alexandrine Parakeet,resident,india_se_asia,2015,2022,07-26,12-06,0.8195701837684283,0.3190395495274356
allhum,Allen's Hummingbird,breeding,north_america,2012,2022,03-22,06-07,0.9094200104897142,-0.11700338251815576
altori,Altamira Oriole,resident,north_america,2011,2021,10-04,05-10,0.8519290645128487,0.1650583271368865
ambduc,American Black Duck,nonbreeding,north_america,2011,2021,12-13,02-15,0.7973893180464775,-0.0037932123834704
ameavo,American Avocet,breeding,north_america,2012,2022,05-10,06-21,0.699910423168215,0.11201728191916951
amebit,American Bittern,breeding,north_america,2012,2022,06-07,07-26,0.7977301151688913,0.01325919620980486
amecro,American Crow,breeding,north_america,2012,2022,05-10,07-05,0.8960495757922355,0.02395541284474719
amedip,American Dipper,resident,north_america,2012,2022,05-03,07-26,0.8039294319205896,-0.13220242696676898
amegfi,American Goldfinch,breeding,north_america,2012,2022,05-31,08-23,0.8486740387130438,-0.131309286810585
amekes,American Kestrel,breeding,north_america,2012,2022,05-17,08-09,0.8772231810867616,0.8910735739526452
ameoys,American Oystercatcher,breeding,north_america,2012,2022,05-10,07-26,0.7696020507830622,0.8335676787071931
amepip,American Pipit,nonbreeding,north_america,2011,2021,12-20,02-08,0.7927790241894491,0.6028659278276968
amered,American Redstart,breeding,north_america,2012,2022,06-21,07-12,0.8348992359787902,-0.10659867002790892
amerob,American Robin,breeding,north_america,2012,2022,05-24,08-09,0.9006561720890703,-0.1802851252114904
amewig,American Wigeon,nonbreeding,north_america,2011,2021,12-13,01-18,0.7219101163632462,0.1837198550018698
amtspa,American Tree Sparrow,nonbreeding,north_america,2011,2021,12-13,02-15,0.8622126441416966,0.49998412132419223
amwpel,American White Pelican,breeding,north_america,2012,2022,05-31,08-09,0.7451747691654443,0.14960807736729534
andgoo1,Andean Goose,nonbreeding,south_america,2015,2022,03-08,11-01,0.4524515988521261,0.4831708488167796
andsol1,Andean Solitaire,resident,south_america,2015,2022,06-07,12-27,0.685939184051472,1.3525237549107314
anhing,Anhinga,breeding,north_america,2012,2022,05-03,07-19,0.7544425212075221,0.29331991812779834
annhum,Anna's Hummingbird,breeding,north_america,2012,2022,01-25,05-03,0.9393134861359006,0.21166141700274835
antnig,Antillean Nighthawk,breeding,north_america,2012,2022,05-10,08-09,0.7416122722614457,0.8677653968628815
aplfal,Aplomado Falcon,resident,south_america,2015,2022,01-25,05-10,0.5632391871926413,1.0083552062095806
arcter,Arctic Tern,breeding,north_america,2012,2022,06-14,06-28,0.45702169717882735,1.2025912815085438
ariwoo,Arizona Woodpecker,resident,north_america,2011,2021,12-06,05-31,0.7559818693399606,-1.3645360884011304
ascspl1,Ashy-crowned Sparrow-Lark,resident,india_se_asia,2015,2022,08-09,10-04,0.7209745500504707,1.150279062197986
asfblu1,Asian Fairy-bluebird,resident,india_se_asia,2014,2021,11-29,03-15,0.6880480854627434,1.3745448958906956
ashpri1,Ashy Prinia,resident,india_se_asia,2015,2022,06-21,10-04,0.8598449449249005,0.409473816400189
asikoe2,Asian Koel,breeding,india_se_asia,2015,2022,05-17,07-26,0.874459217123499,0.19515202844381457
aspfly1,Indian Paradise-Flycatcher,nonbreeding,india_se_asia,2014,2021,11-29,03-01,0.8624269793532279,-0.10759582648007894
astfly,Ash-throated Flycatcher,breeding,north_america,2012,2022,05-31,07-19,0.8738395759253209,-0.17313233228317557
audori,Audubon's Oriole,resident,north_america,2011,2021,11-01,05-03,0.8696870849602112,0.6838951337711815
aukpar1,Australian King-Parrot,resident,aus_nz,2014,2022,07-19,10-18,0.7357790036776912,0.2099335042931735
ausbla1,Austral Blackbird,breeding,south_america,2014,2021,11-01,04-12,0.8309147695570446,0.4246152977113546
ausgre1,Australasian Grebe,resident,aus_nz,2014,2022,01-04,12-28,0.8510085736509001,0.46699396470354537
ausibi1,Australian Ibis,breeding,aus_nz,2013,2021,12-06,03-15,0.7152711221518735,-0.02836888210816502
auskes1,Nankeen Kestrel,breeding,aus_nz,2013,2021,08-02,03-01,0.8513993782332862,-0.2961833126730813
ausmag2,Australian Magpie,resident,aus_nz,2014,2022,07-26,09-27,0.872039272450507,0.25825853831379375
ausneg1,Austral Negrito,breeding,south_america,2014,2021,10-25,02-01,0.6892219134999178,0.6902179615094252
auspip2,Australian Pipit,resident,aus_nz,2014,2022,07-26,10-04,0.7731547655082076,-0.21760630179424864
ausrav1,Australian Raven,resident,aus_nz,2014,2022,07-12,10-11,0.7868223828396271,0.11189391256485536
aussho1,Australasian Shoveler,resident,aus_nz,2014,2022,01-04,03-15,0.5616954591226058,-0.1896614904524564
austhr1,Austral Thrush,resident,south_america,2015,2022,05-24,09-27,0.795302632635717,0.04180653606262968
azaspi1,Azara's Spinetail,resident,south_america,2014,2021,12-27,05-10,0.6506271133411703,0.3828594499733189
azchum1,Azure-crowned Hummingbird,resident,north_america,2012,2022,07-05,09-27,0.714095067937498,-0.08301763256222823
azwmag3,Iberian Magpie,resident,iberia,2014,2022,03-01,06-07,0.7851085201685951,0.29695470957739384
babwar,Bay-breasted Warbler,breeding,north_america,2012,2022,06-14,07-19,0.7872760966119522,1.0644424361491742
bacspa,Bachman's Sparrow,resident,north_america,2012,2022,02-08,06-07,0.6538335265420501,0.4303407246061749
baisan,Baird's Sandpiper,nonbreeding,south_america,2014,2021,11-15,02-15,0.4812681889770242,0.5766428776495004
baleag,Bald Eagle,breeding,north_america,2012,2022,05-24,07-19,0.8329033307694151,0.08575340820496566
balori,Baltimore Oriole,breeding,north_america,2012,2022,06-07,07-26,0.9277541711395176,0.39641706084845446
banana,Bananaquit,resident,south_america,2015,2022,06-21,12-20,0.7664364344270926,0.25916603851433284
banmyn1,Bank Myna,resident,india_se_asia,2015,2022,06-14,10-04,0.5689322308202064,0.24403154149802572
banswa,Bank Swallow,breeding,north_america,2012,2022,06-07,06-21,0.8143241785267993,0.16389390740887463
banwre1,Banded Wren,resident,north_america,2012,2022,02-01,05-24,0.7507488215465814,0.564469999817795
bargol,Barrow's Goldeneye,nonbreeding,north_america,2012,2022,01-04,02-01,0.7761039390927262,0.4964377132831596
barswa,Barn Swallow,breeding,north_america,2012,2022,05-31,07-12,0.9000064433988217,0.1649328107740404
batpig1,Band-tailed Pigeon,breeding,north_america,2012,2022,05-17,07-19,0.8742384965886076,0.2240629436351536
bawswa1,Blue-and-white Swallow,breeding,south_america,2014,2021,10-25,03-01,0.7840105641341398,0.4856503512575977
bawwar,Black-and-white Warbler,breeding,north_america,2012,2022,06-07,07-05,0.8483572884516319,0.3476219778123663
bbwduc,Black-bellied Whistling-Duck,breeding,north_america,2012,2022,05-24,08-02,0.807403307948638,0.3285311299230666
