dataset,predictor,description,reference
ebird,checklist_id,Unique ID for every eBird checklist.,
ebird,observer_id,Unique ID for every eBird observer.,
ebird,loc_id,Unique ID for every distinct checklist location.,
ebird,longitude,"Longitude assigned to checklist. Locations are assigned using the most precise data available, in descending order of precision: checklists with tracks will use the track centroid, checklists assigned to hotspots will receive the mean centroid of all tracks at that hotspot, checklists assigned to hotspots with no other tracks will receive the hotspot location, and checklists assigned to personal locations will receive the location assigned by the observer.",
ebird,latitude,"Latitude assigned to checklist. Locations are assigned using the most precise data available, in descending order of precision: checklists with tracks will use the track centroid, checklists assigned to hotspots will receive the mean centroid of all tracks at that hotspot, checklists assigned to hotspots with no other tracks will receive the hotspot location, and checklists assigned to personal locations will receive the location assigned by the observer.",
ebird,year,Integer year of observation.,
ebird,day_of_year,Integer day of year of observation [1-366].,
ebird,hours_of_day,Time of day for checklist midpoint expressed as a continuous number of hours since midnight.,
ebird,solar_noon_diff,Time of day for checklist midpoint expressed as the difference in hours from solar noon.,
ebird,is_stationary,Was this a stationary (TRUE) or traveling (FALSE) protocol?,
ebird,effort_hrs,Checklist duration in hours.,
ebird,effort_distance_km,Distance traveled in kilometers.,
ebird,effort_speed_kmph,Mean speed traveled kilometers per hour [effort_distance_km / effort_hrs].,
ebird,num_observers,Number of observers.,
ebird,cci,"Checklist calibration index, a measure of observer expertise specific to this checklist.",https://doi.org/10.1111/2041-210X.12838
moon,moon_fraction,Illuminated fraction of the moon at the date and time of the observation; varies from 0.0 (new moon) to 1.0 (full moon).,"suncalc R package, getMoonIllumination() function"
moon,moon_altitude,"Moon altitude above the horizon in radians at the date, time, and location of the observer.","suncalc R package, getMoonPosition() function"
cds,cds_{class},"Hourly weather conditions at the date, time, and location of the observation from the ERA5 Copernicus product. Weather conditions are broken into 14 different variables, see the ""classes"" sheet for details. Note that these are local weather variables not climate variables and are therefore only expected to describe the observation processes rather than any ecological processes.",https://doi.org/10.24381/cds.adbb2d47
eastness,eastness_1km_{median/sd},"East-west component of slope aggregated from the 1 km resolution topographic dataset described in Amatulli et al. 2018. Combines both slope and aspect. Steep slopes facing east will have high positive values, while steep slopes facing west will have high negative values.","https://doi.org/10.1038/sdata.2018.40

"
eastness,eastness_90m_{median/sd},"East-west component of slope aggregated from the 90 m resolution. Combines both slope and aspect. Steep slopes facing east will have high positive values, while steep slopes facing west will have high negative values.",
northness,northness_1km_{median/sd},"North-south component of slope aggregated from the 1 km resolution topographic dataset described in Amatulli et al. 2018. Combines both slope and aspect. Steep slopes facing north will have high positive values, while steep slopes facing south will have high negative values.","https://doi.org/10.1038/sdata.2018.40

"
northness,northness_90m_{median/sd},"North-south component of slope aggregated from the 90 m resolution. Combines both slope and aspect. Steep slopes facing north will have high positive values, while steep slopes facing south will have high negative values.",
elevation,elevation_250m_{median/sd},Elevation and bathymetry in meters aggregated from the 250 m dataset described in Tozer et al. 2019.,https://doi.org/10.1029/2019EA000658
elevation,elevation_30m_{median/sd},Elevation in meters aggregated from the 30 m resolution ASTER Global Digital Elevation Model (v003) dataset.,https://doi.org/10.5067/ASTER/ASTGTM.003
island,island,A unique integer ID for every distinct island or continent.,https://doi.org/10.1080/1755876X.2018.1529714
astwbd,astwbd_c{class}_{pland/ed},"Water cover variables aggregated from the 30 m resolution ASTER Global Water Bodies Database (v001) dataset. These features are static and don't describe changes in water cover. See the ""classes"" sheet for details on the available water cover classes.",https://doi.org/10.5067/ASTER/ASTWBD.001
gsw,gsw_c{class}_{pland/ed},"Water cover variables derived from the Global Surface Water dataset, which describes the location and persistence of surface water. These features have annual temporal resolution from 2006-2021. See the ""classes"" sheet for details on the available water cover classes.",https://doi.org/10.1038/nature20584
intertidal,intertidal_c1_{pland/ed},"Tidal wetland (defined as either saltmarsh, mangrove, or tidal flats) aggregated from the 30 m Global Intertidal Change dataset. This dataset is provided for 3 year periods: 2005-2007, 2008-2010, 2011-2013, and 2014-2016. Data are only available below 60 degrees north and above 60 degrees south; outside this range there will be NA values.",https://doi.org/10.1126/science.abm9583
ntl,ntl_{mean/sd},Nighttime lights aggregated from 500 m resolution mean annual reflectance values collected by VIIRS. A proxy for urban development. Annual temporal resolution from 2015-2021.,https://eogdata.mines.edu/products/vnl/
road_density,road_density_c{class},"Density of roads (km of roads per square km of area) derived from the GRIP global road dataset. Roads are classified into 5 categories, see the ""classes"" sheet for details.",https://www.globio.info/download-grip-dataset
mcd12q1_lccs1,mcd12q1_lccs1_c{class}_{pland/ed},"Land cover aggregated from the 500 m MODIS MCD12Q1 (v061) dataset using the FAO-Land Cover Classification System 1 (LCCS1). See the ""classes"" sheet for details on the available land cover classes.",https://doi.org/10.5067/MODIS/MCD12Q1.061
mcd12q1_lccs2,mcd12q1_lccs2_c{class}_{pland/ed},"Land cover aggregated from the 500 m MODIS MCD12Q1 (v061) dataset using the FAO-Land Cover Classification System 2 (LCCS2). See the ""classes"" sheet for details on the available land cover classes.",https://doi.org/10.5067/MODIS/MCD12Q1.061
mcd12q1_lccs3,mcd12q1_lccs3_c{class}_{pland/ed},"Land cover aggregated from the 500 m MODIS MCD12Q1 (v061) dataset using the FAO-Land Cover Classification System 3 (LCCS3). See the ""classes"" sheet for details on the available land cover classes.",https://doi.org/10.5067/MODIS/MCD12Q1.061
shoreline,has_shoreline,"The shoreline variables can have missing values if there are no shoreline segments to summarize within a given neighborhood. In these cases all shoreline variables will be set to 0 and has_shoreline will be FALSE, otherwise has_shoreline will be TRUE.",
shoreline,shoreline_{class}_{mean/sd},"Characterization of shoreline derived from the global coastal segment units dataset described by Sayre et al. 2021. This dataset breaks shoreline into 1 km or shorter segments and segments are assigned continuous values for 7 variables describing the coast line itself and the adjacent water. This set of features summarizes these five variables. See the ""classes"" sheet for a description of the variables.",https://doi.org/10.5670/oceanog.2021.219
shoreline_erodibility,shoreline_erodibility_c{class}_density,"Characterization of shoreline derived from the global coastal segment units dataset described by Sayre et al. 2021. This dataset breaks shoreline into 1 km or shorter segments and segments are assigned to one of four erodibility classes describing the adjacent land. This set of features calculates the density (km of coast per square km of area) of each erodibility class. See the ""classes"" sheet for a description of these erodibility classes.",https://doi.org/10.5670/oceanog.2021.219
shoreline_erodibility,shoreline_erodibility_n,The number of distinct erodibility classes.,
shoreline_emu_physical,shoreline_emu_physical_c{class}_density,"Characterization of shoreline derived from the global coastal segment units dataset described by Sayre et al. 2021. This dataset breaks shoreline into 1 km or shorter segments and segments are assigned to one of 23 Ecological Marine Unit Classes (EMUs) that describe the sea surface temperature, salinity, and dissolved oxygen. This set of features calculates the density (km of coast per square km of area) of each EMU class. See the ""classes"" sheet for a description of these EMU classes.",https://doi.org/10.5670/oceanog.2021.219
shoreline_emu_physical,shoreline_emu_physical_n,The number of distinct EMU classes.,
evi,has_evi,"The EVI variables can have missing values due to cloud cover. If EVI is missing it is replaced with 0 and has_evi will be FALSE, otherwise has_evi will be TRUE.",
evi,evi_{median/sd},Enhanced Vegetation Index (EVI) at bi-weekly temporal resolution. Aggregated from the 250 m resolution MODIS MOD13Q1 (v061) dataset.,https://doi.org/10.5067/MODIS/MOD13Q1.061
