index,dataset,predictor,description,reference
26,astwbd,astwbd_c{class}_{pland/ed},"Water cover variables aggregated from the 30 m resolution ASTER Global Water Bodies Database (v001) dataset. These features are static and don't describe changes in water cover. See the ""classes"" sheet for details on the available water cover classes.",https://doi.org/10.5067/ASTER/ASTWBD.001
,bathymetry,bathymetry_{slope/elevation}_{median/sd},Elevation and slope of the sea floor and land surface at 250 m resolution from the General Bathymetric Chart of the Oceans (GEBCO).,https://www.gebco.net/data_and_products/gridded_bathymetry_data/
18,cds,cds_{class},"Hourly weather conditions at the date, time, and location of the observation from the ERA5 Copernicus product. Weather conditions are broken into 14 different variables, see the ""classes"" sheet for details. Note that these are local weather variables not climate variables and are therefore only expected to describe the observation processes rather than any ecological processes.",https://doi.org/10.24381/cds.adbb2d47
19,eastness,eastness_1km_{median/sd},"East-west component of slope aggregated from the 1 km resolution topographic dataset described in Amatulli et al. 2018. Combines both slope and aspect. Steep slopes facing east will have high positive values, while steep slopes facing west will have high negative values.","https://doi.org/10.1038/sdata.2018.40

"
20,eastness,eastness_90m_{median/sd},"East-west component of slope aggregated from the 90 m resolution. Combines both slope and aspect. Steep slopes facing east will have high positive values, while steep slopes facing west will have high negative values.",
15,ebird,cci,"Checklist calibration index, a measure of observer expertise specific to this checklist. Provided reference is to previous version of CCI paper, reference to updated methodology will be added when it's published.",https://doi.org/10.1111/2041-210X.12838
1,ebird,checklist_id,Unique ID for every eBird checklist.,
7,ebird,day_of_year,Integer day of year of observation [1-366].,
12,ebird,effort_distance_km,Distance traveled in kilometers.,
11,ebird,effort_hrs,Checklist duration in hours.,
13,ebird,effort_speed_kmph,Mean speed traveled kilometers per hour [effort_distance_km / effort_hrs].,
8,ebird,hours_of_day,Time of day for checklist midpoint expressed as a continuous number of hours since midnight.,
10,ebird,is_stationary,Was this a stationary (TRUE) or traveling (FALSE) protocol?,
5,ebird,latitude,"Latitude assigned to checklist. Locations are assigned using the most precise data available, in descending order of precision: checklists with tracks will use the track centroid, checklists assigned to hotspots will receive the mean centroid of all tracks at that hotspot, checklists assigned to hotspots with no other tracks will receive the hotspot location, and checklists assigned to personal locations will receive the location assigned by the observer.",
3,ebird,loc_id,Unique ID for every distinct checklist location.,
